Angles-min,Angles-max,Angles-avg,Angles-std,Curves-min,Curves-max,Curves-avg,Curves-std,deltaCurves-min,deltaCurves-max,deltaCurves-avg,deltaCurves-std,hVelocity-min,hVelocity-max,hVelocity-avg,hVelocity-std,vVeclocity-min,vVeclocity-max,vVeclocity-avg,vVeclocity-std,Velocity-min,Velocity-max,Velocity-avg,Velocity-std,Acceleration-min,Acceleration-max,Acceleration-avg,Acceleration-std,Jerk-min,Jerk-max,Jerk-avg,Jerk-std,Angular velocity-min,Angular velocity-max,Angular velocity-avg,Angular velocity-std,
-2.896614,2.444202,-0.213365,1.591285,-1.570796,1.875275,-0.016185,0.632530,-2.356194,1.063078,-0.147989,0.861699,-23.000000,65.000000,8.263158,21.573755,-60.000000,70.000000,-0.157895,24.249314,0.000000,73.681748,21.233735,25.487951,-19.174323,28.039489,-0.055556,12.696632,-23.606906,19.670777,-0.123965,10.763594,-1.055608,2.639958,0.048226,0.874311,
-2.796348,3.141593,-0.056876,1.972403,-0.049506,0.049899,-0.008203,0.026719,-0.001456,0.000461,-0.000314,0.000576,-59.000000,38.000000,-9.166667,32.771477,-20.000000,59.000000,4.083333,24.329026,5.099020,64.884513,33.869699,22.897244,-18.892395,18.403053,-0.257787,9.884873,-9.553265,9.211294,-0.228639,6.890533,-0.613594,2.968970,0.008225,0.967010,
-3.132502,3.141593,-0.265209,1.932064,-0.588003,0.883209,-0.001175,0.212886,-0.533255,0.559143,-0.008193,0.154067,-55.000000,68.000000,3.366667,29.351007,-70.000000,54.000000,1.300000,29.798345,0.000000,83.234608,34.150732,23.588297,-20.652653,14.428152,-1.093299,9.455093,-13.676561,13.909626,0.098101,6.776310,-2.837022,3.117022,0.002752,1.049431,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
-3.030935,3.141593,-1.173474,1.871665,-1.464480,6.038207,0.669309,1.918817,-1.385660,7.502687,0.813782,2.296350,-17.000000,3.000000,-1.600000,4.807732,-14.000000,0.000000,-2.000000,3.525418,0.000000,22.022716,3.348242,5.528104,-9.430219,2.140055,-0.818330,2.871303,-2.890055,4.278093,0.282821,1.790607,-1.509552,3.019103,0.210249,0.929472,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
1.373401,1.768192,1.598510,0.203148,-0.077425,0.004481,-0.036472,0.057917,-0.016063,-0.016063,-0.016063,0.000000,-2.000000,0.000000,-1.000000,1.414214,2.000000,12.000000,7.000000,7.071068,2.000000,12.165525,7.082763,7.188112,-5.082763,-5.082763,-5.082763,0.000000,NaN,NaN,NaN,NaN,-0.197396,0.057127,-0.070134,0.179975,
0.248487,2.356194,1.110470,0.799832,-0.128700,1.259798,0.403568,0.594257,-0.277700,1.257673,0.383619,0.660172,0.000000,14.000000,3.000000,6.164414,0.000000,4.000000,1.400000,1.673320,0.000000,14.560220,3.559258,6.218087,-7.280110,1.118034,-1.736694,3.768082,-0.868034,4.199072,1.135422,2.694791,-0.321751,0.629899,0.136961,0.341838,
-2.525296,3.141593,-0.589487,3.231974,-0.004778,2.833444,1.414333,2.006926,1.419111,1.419111,1.419111,0.000000,-12.000000,-1.000000,-6.500000,7.778175,-8.000000,0.000000,-4.000000,5.656854,1.000000,14.422205,7.711103,9.490932,-6.711103,-6.711103,-6.711103,0.000000,NaN,NaN,NaN,NaN,-0.070269,2.833444,1.381588,2.053235,
-2.553590,3.141593,-0.430740,2.083379,-0.581861,1.047198,0.058616,0.367043,-1.047198,0.349066,-0.053680,0.347325,-1.000000,10.000000,0.750000,3.107908,-7.000000,0.000000,-1.583333,2.020726,0.000000,10.000000,2.762944,2.960247,-4.000000,3.500000,-0.018828,1.942158,-3.750000,2.767767,-0.130820,1.722061,-1.172779,0.785398,0.046574,0.528758,
